,issue_id,issue_comments,issue_desc,created_at,closed_at
1199,WFCORE-86,"
java.lang.Exception: Http request failed.
	at org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestCase.checkURL(RolloutPlanTestCase.java:423)
	at org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestCase.testRollbackAcrossGroupsRolloutPlan(RolloutPlanTestCase.java:322)
...
Caused by: java.util.concurrent.TimeoutException
	at java.util.concurrent.FutureTask.get(FutureTask.java:201)
	at org.jboss.as.test.integration.common.HttpRequest.execute(HttpRequest.java:50)
	at org.jboss.as.test.integration.common.HttpRequest.get(HttpRequest.java:80)
	at org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestCase.checkURL(RolloutPlanTestCase.java:420)
	... 43 more

Standard Output

[Host Controller] &#27;[0m&#27;[0m14:49:48,985 INFO  [org.jboss.as.repository] (management-handler-thread - 3) JBAS014900: Content added at location /mnt/hudson_workspace/workspace/eap-6x-as-testsuite-RHEL-matrix-OracleJDK7/378ed68b/jboss-eap-6.3-src/testsuite/domain/target/domains/CLITestSuite/master/data/content/65/679323a365c7fcc3e6453a9fa3e114cfcd7ecb/content&#27;[0m
[Server:main-two] 14:49:49,579 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-2) JBAS015876: Starting deployment of ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:test-one] 14:49:49,583 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) JBAS015876: Starting deployment of ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:main-one] 14:49:49,586 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-5) JBAS015876: Starting deployment of ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:main-three] 14:49:49,698 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) JBAS015876: Starting deployment of ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:main-one] 14:49:49,696 INFO  [org.jboss.web] (ServerService Thread Pool -- 73) JBAS018210: Register web context: /RolloutPlanTestCase
[Server:main-one] 14:49:49,710 INFO  [org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestServlet] (ServerService Thread Pool -- 73) RolloutServlet initialized: 1401389389710
[Server:main-three] 14:49:49,791 INFO  [org.jboss.web] (ServerSe[Server:main-two] 14:49:49,762 INFO  [org.jboss.web] (ServerService Thread Pool -- 58) JBAS018210: Register web context: /RolloutPlanTestCase
[Server:main-two] 14:49:49,788 INFO  [org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestServlet] (ServerService Thread Pool -- 58) RolloutServlet initialized: 1401389389786
[Server:test-one] 14:49:49,784 INFO  [org.jboss.web] (ServerService Thread Pool -- 21) JBAS018210: Register web context: /RolloutPlanTestCase
rvice Thread Pool -- 67) JBAS018210: Register web context: /RolloutPlanTestCase
[Server:main-three] 14:49:49,804 INFO  [org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestServlet] (ServerService Thread Pool -- 67) RolloutServlet initialized: 1401389389803
[Server:test-one] 14:49:49,820 INFO  [org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestServlet] (ServerService Thread Pool -- 21) RolloutServlet initialized: 1401389389820
[Server:other-two] 14:49:49,891 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) JBAS015876: Starting deployment of ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:other-two] 14:49:50,826 INFO  [org.jboss.web] (ServerService Thread Pool -- 71) JBAS018210: Register web context: /RolloutPlanTestCase
[Server:other-two] 14:49:50,845 INFO  [org.jboss.as.test.integration.domain.management.cli.RolloutPlanTestServlet] (ServerService Thread Pool -- 71) RolloutServlet initialized: 1401389390845
[Server:main-two] 14:49:51,172 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018559: Deployed ""RolloutPlanTestCase.war"" (runtime-name : ""RolloutPlanTestCase.war"")
[Server:test-one] 14:49:51,174 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018559: Deployed ""RolloutPlanTestCase.war"" (runtime-name : ""RolloutPlanTestCase.war"")
[Server:main-one] 14:49:51,169 INF[Server:other-two] 14:49:51,180 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018559: Deployed ""RolloutPlanTestCase.war"" (runtime-name : ""RolloutPlanTestCase.war"")
[Server:main-three] 14:49:51,180 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018559: Deployed ""RolloutPlanTestCase.war"" (runtime-name : ""RolloutPlanTestCase.war"")
O  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018559: Deployed ""RolloutPlanTestCase.war"" (runtime-name : ""RolloutPlanTestCase.war"")
[Server:main-two] 14:50:11,333 INFO  [org.jboss.web] (ServerService Thread Pool -- 66) JBAS018224: Unregister web context: /RolloutPlanTestCase
[Server:test-one] 14:50:11,346 INFO  [org.jboss.web] (ServerService Thread Pool -- 58) JBAS018224: Unregister web context: /RolloutPlanTestCase
[Server:main-three] 14:50:11,376 INFO  [org.jboss.web] (ServerService Thread Pool -- 69) JBAS018224: Unregister web context: /RolloutPlanTestCase
[Server:main-two] 14:50:11,388 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) JBAS015877: Stopped deployment RolloutPlanTestCase.war (runtime-name: RolloutPlanTestCase.war) in 62ms
[Server:test-one] 14:50:11,397 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) JBAS015877: Stopped deployment RolloutPlanTestCase.war (runtime-name: RolloutPlanTestCase.war) in 59ms
[Server:main-three] 14:50:11,548 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-8) JBAS015877: Stopped deployment RolloutPlanTestCase.war (runtime-name: RolloutPlanTestCase.war) in 175ms
[Server:other-two] 14:50:11,634 INFO  [org.jboss.web] (ServerService Thread Pool -- 78) JBAS018224: Unregister web context: /RolloutPlanTestCase
[Server:other-two] 14:50:11,704 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) JBAS015877: Stopped deployment RolloutPlanTestCase.war (runtime-name: RolloutPlanTestCase.war) in 132ms
[Server:main-one] 14:50:11,748 INFO  [org.jboss.web] (ServerService Thread Pool -- 78) JBAS018224: Unregister web context: /RolloutPlanTestCase
[Server:main-one] 14:50:11,763 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) JBAS015877: Stopped deployment RolloutPlanTestCase.war (runtime-name: RolloutPlanTestCase.war) in 385ms
[Server:main-three] 14:50:12,225 INFO  [org.jboss.as.repository] (host-controller-connection-threads - 1) JBAS014901: Content removed from location /mnt/hudson_workspace/workspace/eap-6x-as-testsuite-RHEL-matrix-OracleJDK7/378ed68b/jboss-eap-6.3-src/testsuite/domain/target/domains/CLITestSuite/slave/data/servers/main-three/content/65/679323a365c7fcc3e6453a9fa3e114cfcd7ecb/content
[Server:main-three] 14:50:12,226 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018558: Undeployed ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:test-one] 14:50:12,217 INFO  [org.jboss.as.repository] (host-controller-connection-threads - 1) JBAS014901: Content removed from location /mnt/hudson_workspace/workspace/eap-6x-as-testsuite-RHEL-matrix-OracleJDK7/378ed68b/jboss-eap-6.3-src/testsuite/domain/target/domains/CLITestSuite/master/servers/test-one/data/content/65/679323a365c7fcc3e6453a9fa3e114cfcd7ecb/content
[Server:test-one] 14:50:12,218 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018558: Undeployed ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:main-two] 14:50:12,218 INFO  [org.jboss.as.repository] (host-controller-connection-threads - 1) JBAS014901: Content removed from location /mnt/hudson_workspace/workspace/eap-6x-as-testsuite-RHEL-matrix-OracleJDK7/378ed68b/jboss-eap-6.3-src/testsuite/domain/target/domains/CLITestSuite/master/servers/main-two/data/content/65/679323a365c7fcc3e6453a9fa3e114cfcd7ecb/content
[Server:main-two] 14:50:12,219 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018558: Undeployed ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:main-one] 14:50:12,221 INFO  [org.jboss.as.repository] (host-controller-connection-threads - 1) JBAS014901: Content removed from location /mnt/hudson_workspace/workspace/eap-6x-as-testsuite-RHEL-matrix-OracleJDK7/378ed68b/jboss-eap-6.3-src/testsuite/domain/target/domains/CLITestSuite/master/servers/main-one/data/content/65/679323a365c7fcc3e6453a9fa3e114cfcd7ecb/content
[Server:main-one] 14:50:12,223 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018558: Undeployed ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Server:other-two] 14:50:12,237 INFO  [org.jboss.as.repository] (host-controller-connection-threads - 1) JBAS014901: Content removed from location /mnt/hudson_workspace/workspace/eap-6x-as-testsuite-RHEL-matrix-OracleJDK7/378ed68b/jboss-eap-6.3-src/testsuite/domain/target/domains/CLITestSuite/slave/data/servers/other-two/content/65/679323a365c7fcc3e6453a9fa3e114cfcd7ecb/content
[Server:other-two] 14:50:12,252 INFO  [org.jboss.as.server] (host-controller-connection-threads - 1) JBAS018558: Undeployed ""RolloutPlanTestCase.war"" (runtime-name: ""RolloutPlanTestCase.war"")
[Host Controller] &#27;[0m&#27;[0m14:50:12,261 INFO  [org.jboss.as.repository] (management-handler-thread - 4) JBAS014901: Content removed from location /mnt/hudson_workspace/workspace/eap-6x-as-testsuite-RHEL-matrix-OracleJDK7/378ed68b/jboss-eap-6.3-src/testsuite/domain/target/domains/CLITestSuite/master/data/content/65/679323a365c7fcc3e6453a9fa3e114cfcd7ecb/content&#27;[0m
ERROR [org.jboss.as.cli.CommandContext] {
    ""outcome"" => ""failed"",
    ""failure-description"" => {""domain-failure-description"" => ""JBAS014807: Management resource '[
    (\""socket-binding-group\"" => \""standard-sockets\""),
    (\""socket-binding\"" => \""test-binding\"")
]' not found""},
    ""rolled-back"" => true
}",,,
1200,WFCORE-82,"There are actually two checks that need to be performed: -
 1 - If a secure port is required then a security realm must be associated with the interface.
 2 - That security realm must supply an SSLContext

For #1 that can at least be validated in the model at the end of stage MODEL.  This will need to be validated for both standalone mode and domain mode - each of these use independent resource definitions.

#2 will have to wait until RUNTIME where we have the opportunity to check that the injected realm does supply a SSLContext.",,,
1229,WFCORE-76,"The code inside ReadResourceHandler.doExecuteInternal(OperationContext context, ModelNode operation) goes as follows:

{noformat}
final int recursiveDepth = operation.get(ModelDescriptionConstants.RECURSIVE_DEPTH).asInt(0);
final boolean recursive = recursiveDepth > 0 || operation.get(ModelDescriptionConstants.RECURSIVE).asBoolean(false);
{noformat}

The [documentation|https://docs.jboss.org/author/display/WFLY8/Global+operations] states:

recursive-depth – (int) – The depth to which information about child resources should be included *if recursive is {{true}*. If not set, the depth will be unlimited; i.e. all descendant resources will be included.

The logic, however, as implemented goes - either recursive-depth is greater than zero OR recursive is true.

The proper implementation should be:

{noformat}
final int recursiveDepth = operation.get(ModelDescriptionConstants.RECURSIVE_DEPTH).asInt(0);
final boolean recursive =  operation.get(ModelDescriptionConstants.RECURSIVE).asBoolean(false) && 
                (!operation.get(ModelDescriptionConstants.RECURSIVE_DEPTH).isDefined() || recursiveDepth > 0);
{noformat}

The above snippet works as follows: recurs IF recursive is set AND (either recursive-depth is not defined OR recursive-depth is greater than 0).
  ",,,
1235,WFCORE-72,The --force flag is not working with the deploy command in CLI GUI.  The CLI CommandContextImpl is generating the wrong DMR request.,,,
1237,WFCORE-71,"The ProtocolLogger class is used in a few places in host-controller and server, but the module.xml for the org.jboss.as.protocol module specifically excludes it from being exported.

The uses aren't complex enough to justify exporting the class, so I'll just change them.",,,
1241,WFCORE-69,"Executing the following CLI commands: -

{code:title=CLI Commands}
./core-service=management/security-realm=SSLRealm:add
./core-service=management/security-realm=SSLRealm/server-identity=ssl:add(keystore-password=keystore_password, keystore-relative-to=jboss.server.config.dir, keystore-path=server.keystore){allow-resource-service-restart=true}
{code}

Results in the following NullPointerException being recorded: -

{noformat}
15:23:28,074 ERROR [org.jboss.as.controller.management-operation] (management-handler-thread - 6) WFLYCTL0013: Operation (""add"") failed - address: ([
    (""core-service"" => ""management""),
    (""security-realm"" => ""SSLRealm""),
    (""server-identity"" => ""ssl"")
]): java.lang.NullPointerException
	at org.jboss.as.domain.management.security.SecurityRealmAddHandler.addSSLServices(SecurityRealmAddHandler.java:596) [wildfly-domain-management-1.0.0.Alpha6-SNAPSHOT.jar:1.0.0.Alpha6-SNAPSHOT]
	at org.jboss.as.domain.management.security.SecurityRealmAddHandler.installServices(SecurityRealmAddHandler.java:188) [wildfly-domain-management-1.0.0.Alpha6-SNAPSHOT.jar:1.0.0.Alpha6-SNAPSHOT]
	at org.jboss.as.domain.management.security.SecurityRealmParentRestartHandler.recreateParentService(SecurityRealmParentRestartHandler.java:66) [wildfly-domain-management-1.0.0.Alpha6-SNAPSHOT.jar:1.0.0.Alpha6-SNAPSHOT]
	at org.jboss.as.controller.RestartParentResourceHandlerBase$1.execute(RestartParentResourceHandlerBase.java:74) [wildfly-controller-1.0.0.Alpha6-SNAPSHOT.jar:1.0.0.Alpha6-SNAPSHOT]
	at org.jboss.as.controller.AbstractOperationContext.executeStep(AbstractOperationContext.java:664) [wildfly-controller-1.0.0.Alpha6-SNAPSHOT.jar:1.0.0.Alpha6-SNAPSHOT]
{noformat}",,,
1242,WFCORE-65,There is no way to associate a deployment to a specific scanner thus if one deployment fails for a scanner during startup all deployments not persistent will be removed ,,,
1263,WFCORE-58,"- When WildFly 9 Alpha1 is started with the following system properties in the ""standalone.conf"" then the admin console behaves abnormally and shows some missing buttons in the console. See attached screenshot ""mssing_add_remove_disable_Buttons.png"".

{code}
JAVA_OPTS=""$JAVA_OPTS -Duser.country=TR -Duser.language=tr""
{code}


- Also it throws following Error while accessing the console URL like [1]
[1] http://localhost:9990/console/App.html#datasources

{code}
10:39:39,223 ERROR [org.jboss.as.controller.management-operation] (XNIO-1 task-8) WFLYCTL0013: Operation (""check-resource-access"") failed - address: ([
    (""subsystem"" => ""datasources""),
    (""data-source"" => ""*""),
    (""connection-properties"" => ""*"")
]): java.lang.IllegalArgumentException: No enum constant org.jboss.as.controller.registry.AttributeAccess.Storage.CONFİGURATİON
	at java.lang.Enum.valueOf(Enum.java:236) [rt.jar:1.7.0_51]
	at org.jboss.as.controller.registry.AttributeAccess$Storage.valueOf(AttributeAccess.java:91) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.operations.global.ReadResourceDescriptionHandler$CheckResourceAccessHandler.execute(ReadResourceDescriptionHandler.java:431) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.AbstractOperationContext.executeStep(AbstractOperationContext.java:603) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.AbstractOperationContext.doCompleteStep(AbstractOperationContext.java:481) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.AbstractOperationContext.completeStepInternal(AbstractOperationContext.java:282) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.AbstractOperationContext.executeOperation(AbstractOperationContext.java:277) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.OperationContextImpl.executeOperation(OperationContextImpl.java:1060) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.ModelControllerImpl.internalExecute(ModelControllerImpl.java:296) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.controller.ModelControllerImpl.execute(ModelControllerImpl.java:165) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.domain.http.server.DomainApiHandler.handleRequest(DomainApiHandler.java:179) [wildfly-domain-http-interface-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.domain.http.server.security.SubjectDoAsHandler$1.run(SubjectDoAsHandler.java:72) [wildfly-domain-http-interface-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.domain.http.server.security.SubjectDoAsHandler$1.run(SubjectDoAsHandler.java:68) [wildfly-domain-http-interface-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at java.security.AccessController.doPrivileged(Native Method) [rt.jar:1.7.0_51]
	at javax.security.auth.Subject.doAs(Subject.java:415) [rt.jar:1.7.0_51]
	at org.jboss.as.controller.AccessAuditContext.doAs(AccessAuditContext.java:94) [wildfly-controller-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.domain.http.server.security.SubjectDoAsHandler.handleRequest(SubjectDoAsHandler.java:68) [wildfly-domain-http-interface-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at org.jboss.as.domain.http.server.security.SubjectDoAsHandler.handleRequest(SubjectDoAsHandler.java:63) [wildfly-domain-http-interface-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at io.undertow.server.handlers.BlockingHandler.handleRequest(BlockingHandler.java:50) [undertow-core-1.1.0.Beta5.jar:1.1.0.Beta5]
	at org.jboss.as.domain.http.server.DomainApiCheckHandler.handleRequest(DomainApiCheckHandler.java:83) [wildfly-domain-http-interface-1.0.0.Alpha3.jar:1.0.0.Alpha3]
	at io.undertow.security.handlers.AuthenticationCallHandler.handleRequest(AuthenticationCallHandler.java:52) [undertow-core-1.1.0.Beta5.jar:1.1.0.Beta5]
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:197) [undertow-core-1.1.0.Beta5.jar:1.1.0.Beta5]
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:737) [undertow-core-1.1.0.Beta5.jar:1.1.0.Beta5]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) [rt.jar:1.7.0_51]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) [rt.jar:1.7.0_51]
	at java.lang.Thread.run(Thread.java:744) [rt.jar:1.7.0_51]
{code}",,,
1272,WFCORE-50,"The problem appears only when running single tests. If the tests are run using a wildcard, there is no problem.",,,
1273,WFCORE-64,"If one's standalone-full.xml configuration contains something like:

<deployments>
  <deployment name=""MyWebApp.war"" runtime-name=""MyWebApp.war"" enabled=""true"">
    <fs-exploded path=""../../SomeDir/MyWebApp.war"" relative-to=""jboss.home.dir""/>
  </deployment>
</deployments>

whether manually inserted (while the server is not running) or installed via the CLI via

  /deployment=ServiceCenter.war/:add(runtime-name=ServiceCenter.war,content=[{archive=false,path=""../../Windchill/ServiceCenter.war"",relative-to=""jboss.home.dir""}])

and a deployment scanner like:

  <subsystem xmlns=""urn:jboss:domain:deployment-scanner:2.0""> 
    <deployment-scanner name=""1"" path=""../../../Applications"" relative-to=""jboss.server.base.dir"" scan-interval=""5000"" auto-deploy-exploded=""true""/> 
  </subsystem> 

a failure by a deployment-scanner to deploy an application (exploded in my case, though I'm not sure this makes a difference) will cause the explicitly listed <deployments> to be removed from the configuration!

This occurs irrespective of the value used for auto-deploy-exploded and to <deployment> elements that had already successfully been deployed and started.",,,
1275,WFCORE-48,"(Hopefully this belongs to WildFly Core. If not, please move to WildFly.)

I'm doing a programmatic invocation of a simple mgmt operation on the root mgmt resource, say e.g. {{:whoami}}. I'm doing this against a freshly built WildFly from master branch (commit {{e2b9ecfb}}) and on the client side, I'm depending on {{org.wildfly.core:wildfly-controller-client:1.0.0.Alpha4}}.

The code looks like this:

{code:java}
ModelControllerClient client = ModelControllerClient.Factory.create(""localhost"", 9990);

try {
    ModelNode op = new ModelNode();
    op.get(ClientConstants.OP).set(""whoami"");
    op.get(ClientConstants.OP_ADDR).set("""");
    ModelNode result = client.execute(op);
    System.out.println(result);
} finally {
    client.close();
}
{code}

This fails with an exception like this:

{code}
Exception in thread ""main"" java.io.IOException: java.util.concurrent.ExecutionException: Operation failed
	at org.jboss.as.controller.client.impl.AbstractModelControllerClient.executeForResult(AbstractModelControllerClient.java:129)
	at org.jboss.as.controller.client.impl.AbstractModelControllerClient.execute(AbstractModelControllerClient.java:71)
	at cz.ladicek.wildfly.ErrorReproducer.main(ErrorReproducer.java:17)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at com.intellij.rt.execution.application.AppMain.main(AppMain.java:134)
Caused by: java.util.concurrent.ExecutionException: Operation failed
	at org.jboss.threads.AsyncFutureTask.operationFailed(AsyncFutureTask.java:74)
	at org.jboss.threads.AsyncFutureTask.get(AsyncFutureTask.java:268)
	at org.jboss.as.controller.client.impl.AbstractDelegatingAsyncFuture.get(AbstractDelegatingAsyncFuture.java:100)
	at org.jboss.as.controller.client.impl.AbstractModelControllerClient.executeForResult(AbstractModelControllerClient.java:127)
	... 7 more
Caused by: java.io.EOFException
	at java.io.DataInputStream.readByte(DataInputStream.java:267)
	at org.jboss.as.protocol.mgmt.ProtocolUtils.expectHeader(ProtocolUtils.java:83)
	at org.jboss.as.controller.client.impl.AbstractModelControllerClient$1.handleRequest(AbstractModelControllerClient.java:167)
	at org.jboss.as.protocol.mgmt.AbstractMessageHandler.handleMessage(AbstractMessageHandler.java:270)
	at org.jboss.as.protocol.mgmt.AbstractMessageHandler.handleRequest(AbstractMessageHandler.java:235)
	at org.jboss.as.protocol.mgmt.AbstractMessageHandler.handleMessage(AbstractMessageHandler.java:113)
	at org.jboss.as.protocol.mgmt.ManagementChannelReceiver$1.handleMessage(ManagementChannelReceiver.java:56)
	at org.jboss.as.protocol.mgmt.ManagementChannelReceiver.handleMessage(ManagementChannelReceiver.java:84)
	at org.jboss.remoting3.remote.RemoteConnectionChannel$5.run(RemoteConnectionChannel.java:452)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
	at java.lang.Thread.run(Thread.java:745)
{code}

However, when I remove the line that sets {{address}} ({{op.get(ClientConstants.OP_ADDR).set("""");}}), it works just fine.

Fine, I made a mistake, but getting an {{EOFException}}? That's hardly an appropriate response. I should get a proper failure ({{""outcome"" => ""failed""}} etc.).",,,
1284,WFCORE-521,"A German (or french etc...) system must be used to reproduce.
It is likely this is not limited to MacOS, but I do not have a non-english Linux system available

An out of the box install of wildfly/EAP:

Without configuration, the log file is in German as expected.

Using these CLI comands:

:read-operation-description(name=stop-servers,locale=de_DE) -> german
:read-operation-description(name=stop-servers,locale=en_US) -> german
:read-operation-description(name=stop-servers,locale=fr_FR) -> french

So we cannot get the CLI to produce english output

when configuring JAVA_OPTS in domain.conf with:

JAVA_OPTS=""$JAVA_OPTS -Duser.language=en -Duser.country=DE -Duser.encoding=utf-8

The log is now in English -> works as expected; and:
:read-operation-description(name=stop-servers,locale=de_DE) -> german
:read-operation-description(name=stop-servers,locale=en_US) -> english

So it seems we have a bug where the locale set to start the domain takes precedence over the locale set in the CLI command (but only when English is asked)

I presume this is because English is the default locale.
",,,
1287,WFCORE-46,NoData,,,
1289,WFCORE-45,NoData,,,
1291,WFCORE-35,NoData,,,
1294,WFCORE-33,NoData,,,
1295,WFCORE-164,"Jotm is used for JTA, since I want it works on most Servlet containers. Jotm depend on sun.rmi.server.UnicastServerRef, it can't be loaded by WildFly 8.1.0.Final, the same project works in Jetty 9.

Stack trace from test project:
2014-07-29 11:53:20,317 ERROR [org.jboss.msc.service.fail] (MSC service thread 1-2) MSC000001: Failed to start service jboss.undertow.deployment.default-server.default-host./test: org.jboss.msc.service.StartException in service jboss.undertow.deployment.default-server.default-host./test: Failed to start service
	at org.jboss.msc.service.ServiceControllerImpl$StartTask.run(ServiceControllerImpl.java:1904) [jboss-msc-1.2.2.Final.jar:1.2.2.Final]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) [rt.jar:1.7.0_17]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) [rt.jar:1.7.0_17]
	at java.lang.Thread.run(Thread.java:722) [rt.jar:1.7.0_17]
Caused by: java.lang.NoClassDefFoundError: sun/rmi/server/UnicastServerRef
	at test.TestServletContextListener.contextInitialized(TestServletContextListener.java:10)
	at io.undertow.servlet.core.ApplicationListeners.contextInitialized(ApplicationListeners.java:173)
	at io.undertow.servlet.core.DeploymentManagerImpl.deploy(DeploymentManagerImpl.java:190)
	at org.wildfly.extension.undertow.deployment.UndertowDeploymentService.startContext(UndertowDeploymentService.java:87)
	at org.wildfly.extension.undertow.deployment.UndertowDeploymentService.start(UndertowDeploymentService.java:72)
	at org.jboss.msc.service.ServiceControllerImpl$StartTask.startService(ServiceControllerImpl.java:1948) [jboss-msc-1.2.2.Final.jar:1.2.2.Final]
	at org.jboss.msc.service.ServiceControllerImpl$StartTask.run(ServiceControllerImpl.java:1881) [jboss-msc-1.2.2.Final.jar:1.2.2.Final]
	... 3 more
Caused by: java.lang.ClassNotFoundException: sun.rmi.server.UnicastServerRef from [Module ""deployment.test.war:main"" from Service Module Loader]
	at org.jboss.modules.ModuleClassLoader.findClass(ModuleClassLoader.java:213) [jboss-modules.jar:1.3.3.Final]
	at org.jboss.modules.ConcurrentClassLoader.performLoadClassUnchecked(ConcurrentClassLoader.java:459) [jboss-modules.jar:1.3.3.Final]
	at org.jboss.modules.ConcurrentClassLoader.performLoadClassChecked(ConcurrentClassLoader.java:408) [jboss-modules.jar:1.3.3.Final]
	at org.jboss.modules.ConcurrentClassLoader.performLoadClass(ConcurrentClassLoader.java:389) [jboss-modules.jar:1.3.3.Final]
	at org.jboss.modules.ConcurrentClassLoader.loadClass(ConcurrentClassLoader.java:134) [jboss-modules.jar:1.3.3.Final]
	... 10 more

I did some debugging, some variables' state in org.jboss.modules.Module.loadModuleClass method:
systemPackages : [java., sun.reflect., __redirected.]
className : sun.rmi.server.UnicastServerRef
path : sun/rmi/server
paths : some paths point to wildfly/modules/system/layers/base
loaders : null
fallbackLoader : null
",,,
1296,WFCORE-83,"It is possible to overlay WEB-inf/lib/xy.jar without having xy.jar included in the war file.

If an EAR file is used a module in the lib directory can not be added in the same way. But overlay is working if the lib/xy.jar is available.",,,
1297,WFCORE-30,"The refactor of the wildfly-core includes changes in logger codes that affects the startup script to verify if the server is started.

The code JBAS015874 changed to WFLYSRV0025.",,,
1299,WFCORE-21,"ExtensionRegistry maintains state that OSHs modify during Stage.MODEL. But ExtensionRegistry doesn't (and can't, readily) support the copy-on-write/publish-on-commit behavior that is ideal in Stage.MODEL, so those state changes need to be reverted by the OSH if the operation rolls back.

Affects ExtensionAddHandler, ExtensionRemoveHandler, ApplyMissingDomainModelResourcesHandler and ApplyExtensionsHandler.",,,
1352,WFCORE-8,"This shows up a fair amount in issue reports, either in the CLI output or in the server log:

""failure-description"" => ""JBAS014749: Operation handler failed: null""

The null happens because the message is getting passed the result of throwable.getLocalizedMessage() and that may be null. See DMR-11 for what's likely the most common reason it's null.

If it's null, the code should use the class name of the error message.",,,
